  1.24307117999225717e-05  1.73521868963205423e-08 -8.10206237102689851e-11
 -7.50277843384234533e-14  2.51552537374794908e-16  1.76004101324892968e-19
 -4.53172736765799178e-22 -2.45330902670622928e-25  4.88141080515937253e-28
1957+20    11-Jun-14  123000.00   56819.52083333330            29.124020 -0.538 -4.168
 298831916193.519365  622.122028784041   ao  300   12   335.250 0.2153   2.6180
 -1.07246791017619539e-05  2.63328601392253692e+00  5.65070745025470444e-04
 -1.34412259925729936e-05 -6.41755689479300988e-09  8.82954318768720796e-11
  2.64324625502305595e-14 -2.54006750275747960e-16  1.12476968795851792e-20
 -1.92017387643798510e-22 -1.19948515557899049e-24  7.74646785638688991e-27
1957+20    11-Jun-14  173000.00   56819.72916666660            29.124020 -0.544 -7.042
 298843114996.372056  622.122028784041   ao  300   12   335.250 0.7608   2.6180
 -1.77211951152018293e-07  1.40106259439364722e+00  5.26673361958774440e-04
  1.37631533173494271e-05 -4.89039366907379978e-09 -8.94789212746153829e-11
  2.05403291117076212e-14  2.78411463094666824e-16 -4.64063524967419343e-20
 -5.07230715582049233e-22  5.78727979235056862e-26  5.78576061453376378e-28
1957+20    11-Jun-14  213000.00   56819.89583333330            29.124020 -0.556 -6.739
 298852074037.934864  622.122028784041   ao  300   12   335.250 0.1972   2.6180
 -1.14215107640744384e-07  2.68613776860004450e+00  1.07833359041701791e-03
 -1.33542550738721324e-05 -1.09896971345582169e-08  8.65963086241024777e-11
  4.70500179300049545e-14 -2.68623352193322338e-16 -1.07247500381862305e-19
  4.81462632472142289e-22  1.37321442308932535e-25 -4.77973654629213979e-28
1957+20    12-Jun-14   23000.00   56820.10416666660            29.124020 -0.559 -4.354
 298863272876.096282  622.122028784041   ao  300   12   335.250 0.7427   2.6180
 -1.36381946543476880e-05  1.45365651935435913e+00 -2.89746210872650132e-05
  1.36410773138034496e-05 -1.83193263574511127e-10 -8.96735109990382893e-11
  2.32174848492117917e-15  2.55303379618527386e-16 -6.95467161295921386e-20
  5.82719575075190943e-22  1.08327257830225782e-24 -1.63467930706316745e-26
1957+20    12-Jun-14   73000.00   56820.31249999990            29.124020 -0.543 -7.010
 298874471707.344669  622.122028784041   ao  300   12   335.250 0.2881   2.6180
  3.58667981122454127e-08  2.63486737237589752e+00 -1.16528565126472602e-03
 -1.31893775468185175e-05  1.15177864111568970e-08  8.61085989287828248e-11
 -4.94967232501602512e-14 -2.66961752985897675e-16  1.15295027868483253e-19
  4.80001872160245005e-22 -1.57524241570552854e-25 -5.43723924908314335e-28
1957+20    12-Jun-14  123000.00   56820.52083333330            29.124020 -0.529 -4.518
 298885670456.601981  622.122028784041   ao  300   12   335.250 0.8335   2.6180
  4.86168473588788341e-06  1.44425805723750322e+00  1.94942218890911808e-03
  1.17219165030818011e-05 -2.14705723045283624e-08 -7.56341207781517323e-11
  9.22932602216439612e-14  2.31761990445480087e-16 -1.59118909134899190e-19
 -2.15918842306509275e-22 -6.33768272910674834e-25 -3.33988424983823395e-27
1957+20    12-Jun-14  173000.00   56820.72916666660            29.124020 -0.536 -6.963
 298896869319.983433  622.122028784041   ao  300   12   335.250 0.3789   2.6180
 -6.91334785946073893e-08  2.41157417673748808e+00 -2.65993511144479219e-03
 -8.90067331281344887e-06  2.97539428099699794e-08  5.84052470557433247e-11
 -1.29871387095155800e-13 -1.81216631475903883e-16  3.00643758028984870e-19
  3.25589945138400831e-22 -4.01164451322823134e-25 -3.61141160452514585e-28
1957+20    12-Jun-14  213000.00   56820.89583333330            29.124020 -0.548 -6.796
 298905828295.678205  622.122028784041   ao  300   12   335.250 0.8154   2.6180
 -9.07581325371165093e-09  1.47771655995337414e+00  1.69716077102099994e-03
  1.22446625530395588e-05 -1.77453686145664449e-08 -8.05050357952034757e-11
  7.66724038644629799e-14  2.51147894947967852e-16 -1.78195127952551297e-19
 -4.61452993681189995e-22  2.43220923257477915e-25  5.70089074484720344e-28
1957+20    13-Jun-14   23000.00   56821.10416666660            29.124020 -0.551 -3.674
 298917027171.862825  622.122028784041   ao  300   12   335.250 0.3608   2.6180
  2.76448223420107386e-05  2.51967698841516663e+00 -2.51904465135325672e-03
 -1.02536747242132397e-05  2.69137951467108474e-08  6.58464101051926937e-11
 -1.22362765900799557e-13 -1.71645385546163417e-16  5.86149629017754051e-19
 -1.58256337658228763e-21 -6.05011202933452662e-24  3.63821550760994527e-26
1957+20    13-Jun-14   73000.00   56821.31249999990            29.124020 -0.534 -7.018
 298928225891.369835  622.122028784041   ao  300   12   335.250 0.9063   2.6180
  3.00540793796849615e-08  1.67016967338199995e+00  2.99086619462052197e-03
  7.07103515171616452e-06 -3.36973394181693923e-08 -4.60457074784304051e-11
  1.47444710288352565e-13  1.43260010447430549e-16 -3.44828369935257756e-19
 -2.60991882187683511e-22  4.75472243977795241e-25  3.01912849113402890e-28
1957+20    13-Jun-14  123000.00   56821.52083333330            29.124020 -0.521 -4.452
 298939424778.471250  622.122028784041   ao  300   12   335.250 0.4517   2.6180
  1.33242032708119629e-05  2.10039979479454075e+00 -3.53470304769054524e-03
 -3.26246564385078667e-06  3.81835512851439393e-08  2.23309886144039294e-11
 -1.67415675582187714e-13 -8.38845632133220612e-17  4.55696547944674525e-19
  7.58095140887563529e-22 -1.61482226292940512e-24 -9.87650209769116916e-27
1957+20    13-Jun-14  173000.00   56821.72916666660            29.124020 -0.527 -7.049
 298950623450.475820  622.122028784041   ao  300   12   335.250 0.9971   2.6180
 -3.40529476179629587e-08  1.98953861384393238e+00  3.71282632293858756e-03
 -4.18332403598918200e-07 -3.95468430519740041e-08  3.11735084484281073e-12
  1.71559527226636904e-13 -1.03352521362274525e-17 -3.99886684609567070e-19
  2.15758487917664736e-23  5.46549710337131934e-25 -2.40171070445496001e-29
1957+20    13-Jun-14  213000.00   56821.89583333330            29.124020 -0.539 -6.746
 298959582592.837144  622.122028784041   ao  300   12   335.250 0.4336   2.6180
 -1.44484300728525694e-07  2.23951939730909588e+00 -3.30559780360232354e-03
 -5.02579036692159748e-06  3.66376378662044002e-08  3.22336319348857035e-11
 -1.59677746330532993e-13 -9.97858211999482334e-17  3.69306086715041477e-19
  1.75800119294577176e-22 -4.88180603008329226e-25 -1.18391062638431409e-28
1957+20    14-Jun-14   23000.00   56822.10416666660            29.124020 -0.542 -4.351
 298970781289.486368  622.122028784041   ao  300   12   335.250 0.9790   2.6180
 -4.01354024763544981e-06  1.97164941987293285e+00  3.55569070048401218e-03
  9.43000775697709581e-07 -3.92132283108135933e-08 -6.82135302405994189e-12
  1.70845268862854284e-13  9.39360598614058518e-18 -3.80957134561768608e-19
  3.85346127010897467e-22  1.01689359830399294e-25 -5.01656735286491413e-27
1957+20    14-Jun-14   73000.00   56822.31249999990            29.124020 -0.525 -6.958
 298981980194.093985  622.122028784041   ao  300   12   335.250 0.5244   2.6180
 -8.63023648448035807e-08  1.83079911014667251e+00 -3.66821824218357961e-03
  2.84238066112908034e-06  3.87301828681183520e-08 -1.83663297663749543e-11
 -1.67716218211205129e-13  5.63947900546081474e-17  3.88649260012445900e-19
 -9.87476251881658828e-23 -5.20292886613870864e-25  1.13568290954350401e-28
1957+20    14-Jun-14  123000.00   56822.52083333330            29.124020 -0.512 -3.601
 298993178866.376275  622.122028784041   ao  300   12   335.250 0.0698   2.6180
  1.37600333457704033e-04  2.20922186848820923e+00  3.16833581165470394e-03
 -6.35753997339632985e-06 -3.46107237056263015e-08  4.40685507186109786e-11
  1.42240645252034003e-13 -2.88201154250563965e-16 -6.12140087984792465e-22
  6.47663144208388884e-21 -4.60450342904093416e-24 -9.10726560860312125e-26
1957+20    14-Jun-14  173000.00   56822.72916666660            29.124020 -0.518 -6.994
 299004377726.344845  622.122028784041   ao  300   12   335.250 0.6153   2.6180
 -7.32603360371897327e-08  1.49053030033664036e+00 -2.48940020041643921e-03
  9.73024163166699309e-06  2.79268729202668614e-08 -6.31156440764577549e-11
 -1.22238460707799267e-13  1.95430306223656381e-16  2.85616217842130465e-19
 -3.50817555136324672e-22 -3.92308908408464532e-25  3.98570230021044852e-28
1957+20    14-Jun-14  213000.00   56822.89583333330            29.124020 -0.531 -6.662
 299013336662.441874  622.122028784041   ao  300   12   335.250 0.0517   2.6180
 -1.22944436811711633e-07  2.21424005841526883e+00  3.44347237038209646e-03
 -5.18744469738206641e-06 -3.67635141482037085e-08  3.33329948083201635e-11
  1.59429046716571374e-13 -1.03855796539474450e-16 -3.71173909579779594e-19
  1.85092450994304708e-22  5.15884834494735471e-25 -8.56025181185140669e-29
1957+20    15-Jun-14   23000.00   56823.10416666660            29.124020 -0.533 -3.645
 299024535551.718768  622.122028784041   ao  300   12   335.250 0.5972   2.6180
 -5.74812938113344885e-05  1.59814575893799726e+00 -2.91242022947476925e-03
  8.33150092590216849e-06  3.10812692674590194e-08 -5.40006181337849634e-11
 -1.29431542699709094e-13  5.04939986760660113e-17  4.87587130134656487e-20
  4.90519410094372432e-21  3.73482127547991257e-24 -7.95380431008950843e-26
1957+20    15-Jun-14   73000.00   56823.31249999990            29.124020 -0.516 -7.010
 299035734260.319851  622.122028784041   ao  300   12   335.250 0.1426   2.6180
  1.42766948367512025e-08  2.44148307742804693e+00  1.98842000861637353e-03
 -1.11827367327518810e-05 -2.27711788022219659e-08  7.31450053071624629e-11
  9.95232164508189401e-14 -2.27723119534740252e-16 -2.30016764948686352e-19
  4.15538489224964653e-22  3.06359276953773541e-25 -4.87979232350817021e-28
1957+20    15-Jun-14  123000.00   56823.52083333330            29.124020 -0.503 -4.416
 299046933076.362385  622.122028784041   ao  300   12   335.250 0.6880   2.6180
 -2.25203757188525630e-05  1.27770311997934050e+00 -1.21989994583001759e-03
  1.31832650552996646e-05  1.30459917574723242e-08 -8.54178203956110017e-11
 -5.67442085699552915e-14  2.89640608770821883e-16  1.33202561337945769e-19
 -1.42932869678815651e-21 -2.42207649005162811e-25  1.36982142189144194e-26
1957+20    15-Jun-14  173000.00   56823.72916666660            29.124020 -0.510 -7.020
 299058131816.696211  622.122028784041   ao  300   12   335.250 0.2334   2.6180
 -1.40549842096368560e-07  2.53569703431472515e+00  2.78556271025042965e-04
 -1.37162360479456946e-05 -2.16939378295711814e-09  8.97872482038753304e-11
  8.63649300336063768e-15 -2.78729284088389060e-16 -1.83051825821993823e-20
  5.01577128282941803e-22  1.85869054352068673e-26 -5.48033214998599478e-28
1957+20    15-Jun-14  213000.00   56823.89583333330            29.124020 -0.522 -6.410
 299067090863.126986  622.122028784041   ao  300   12   335.250 0.6699   2.6180
 -1.83163168221076034e-07  1.37681695320279096e+00 -1.50461646737267037e-03
  1.23084270283756845e-05  1.70493914265242329e-08 -8.08937088673463829e-11
 -7.48569819839484191e-14  2.51960395778493186e-16  1.74297266266958379e-19
 -4.77622574834671485e-22 -2.08024258367554263e-25  9.23357405764672115e-28
1957+20    16-Jun-14   23000.00   56824.10416666660            29.124020 -0.524 -4.299
 299078289613.630806  622.122028784041   ao  300   12   335.250 0.2153   2.6180
  1.11360914649373186e-05  2.57964669387819034e+00  5.36893388670339495e-04
 -1.37518918439513804e-05 -6.38415296860225907e-09  8.87257386376722632e-11
  2.61964744543678537e-14 -2.56126890004641560e-16  2.71167080693405238e-20
 -4.55625397008523089e-22 -1.52649344795551526e-24  1.56505758819002286e-26
1957+20    16-Jun-14   73000.00   56824.31249999990            29.124020 -0.507 -7.030
 299089488390.450903  622.122028784041   ao  300   12   335.250 0.7608   2.6180
 -5.27071495810306490e-08  1.26180394879801860e+00  3.11318554854302793e-04
  1.37249864397345236e-05 -4.53475541839570722e-09 -8.94450247637335028e-11
  2.02588585810146620e-14  2.78436634219539042e-16 -4.62894822133006149e-20
 -5.08337956866820348e-22  5.93312086389555664e-26  5.90850220524994548e-28
1957+20    16-Jun-14  123000.00   56824.52083333330            29.124020 -0.494 -4.535
 299100687173.989664  622.122028784041   ao  300   12   335.250 0.3062   2.6180
 -1.32668805807529058e-05  2.42474007759895160e+00 -1.45052896386967567e-03
 -1.25059219166052138e-05  1.55661747951836595e-08  8.22620267424063632e-11
