 -1.24162409416428421e-08  2.01605510161773127e+00  3.63755277729912877e-03
  2.56144316231018879e-06 -3.88224584028467742e-08 -1.72048722394532396e-11
  1.68521861245785894e-13  5.34749960768170853e-17 -3.93161229770207846e-19
 -9.55504504828316344e-23  5.37188073583989171e-25  1.05970266972646110e-28
1957+20    10-Jun-14   23000.00   56818.10416666660            29.124020 -0.576 -3.908
 298755764333.840403  622.122028784041   ao  300   12   350.000 0.5063   2.6180
  9.97915010821082138e-06  2.09331435616864869e+00 -3.65415332944905077e-03
  1.11188213994485658e-06  3.92718150024433788e-08 -8.48025502585381075e-12
 -1.69329238185655594e-13  5.72746476667322537e-17  3.13825871190706726e-19
 -1.09231653648840161e-21  1.12351539433184336e-24  1.21015373065086241e-26
1957+20    10-Jun-14   73000.00   56818.31249999990            29.124020 -0.561 -6.977
 298766963061.282107  622.122028784041   ao  300   12   350.000 0.0517   2.6180
  9.51449995890280009e-08  2.32650862078545950e+00  3.24414271494688315e-03
 -5.07619477283418249e-06 -3.64411694424979851e-08  3.32488767317177584e-11
  1.59203047538433066e-13 -1.04070685086829089e-16 -3.70612141550147553e-19
  1.93908123116983873e-22  5.04642943425600724e-25 -2.41902947451192375e-28
1957+20    10-Jun-14  123000.00   56818.52083333330            29.124020 -0.546 -4.204
 298778161971.554537  622.122028784041   ao  300   12   350.000 0.5972   2.6180
  2.61706486203560490e-05  1.64909280021844173e+00 -2.88609640474854750e-03
  8.64785021210710483e-06  3.10936240017563357e-08 -5.50139100829523289e-11
 -1.35754020353802511e-13  1.30147555883277647e-16  3.25622712486051048e-19
  1.24617422863553729e-21 -4.33065671613717847e-25 -2.11618544827238460e-26
1957+20    10-Jun-14  173000.00   56818.72916666660            29.124020 -0.552 -7.021
 298789360705.233007  622.122028784041   ao  300   12   350.000 0.1426   2.6180
 -9.63215466796840669e-08  2.57684533118741843e+00  2.20099493525068935e-03
 -1.11411101297117132e-05 -2.31016667009548728e-08  7.31180689382776490e-11
  9.97010866605849156e-14 -2.27696618668659566e-16 -2.29882237153326611e-19
  4.13102232540114620e-22  3.04325710706574219e-25 -4.47973670161186548e-28
1957+20    10-Jun-14  213000.00   56818.89583333330            29.124020 -0.565 -6.777
 298798319842.523270  622.122028784041   ao  300   12   350.000 0.5791   2.6180
 -7.61653704463988168e-08  1.77672515502192563e+00 -3.00879651565403748e-03
  7.10038712059808880e-06  3.34630541078325193e-08 -4.67985316317300552e-11
 -1.46160332269529937e-13  1.44986872935871496e-16  3.40378676960278217e-19
 -2.58737607519914121e-22 -4.61847564331696816e-25  2.92773097702338755e-28
1957+20    11-Jun-14   23000.00   56819.10416666660            29.124020 -0.568 -4.302
 298809518590.555331  622.122028784041   ao  300   12   350.000 0.1245   2.6180
 -1.44027456198819737e-05  2.58984401858581093e+00  2.38273478464840231e-03
 -1.03777857470277565e-05 -2.63911069792295897e-08  6.72007043674967043e-11
  1.15849728966322176e-13 -2.37660337325095080e-16 -3.04208797393840474e-19
  1.58328810482282483e-21  8.46622590104243398e-25 -1.78818157617675387e-26
1957+20    11-Jun-14   73000.00   56819.31249999990            29.124020 -0.552 -7.003
 298820717476.710571  622.122028784041   ao  300   12   350.000 0.6699   2.6180
 -5.55530455144392921e-09  1.48955825963120914e+00 -1.70111938007913750e-03
  1.24303888831805011e-05  1.73540855244017059e-08 -8.10186192359146049e-11
 -7.50339208765413539e-14  2.51555719987548492e-16  1.75929897864840012e-19
 -4.53525722737014323e-22 -2.43942669865269517e-25  4.93196996519591473e-28
1957+20    11-Jun-14  123000.00   56819.52083333330            29.124020 -0.538 -4.168
 298831916248.711196  622.122028784041   ao  300   12   350.000 0.2153   2.6180
 -1.07365519083761109e-05  2.63328019501806576e+00  5.65265683918478941e-04
