 -1.49508861820016942e-18 -3.81237055734218781e-21  3.42990229852306407e-24
  4.58145774911526885e-26 -3.87410829123278132e-29 -5.34161657377269856e-31
B0531+21   17-Oct-15   33000.00   57312.14583333320             0.000059 -0.862 -8.229
      5508322.063277   29.660772797300   mc  300   12  1650.000                
  4.52207735594448027e-09  1.49261348950675249e-01 -5.16783303360006076e-06
  5.65680402928297928e-10  6.34889137638930720e-12 -5.21208610500202596e-16
 -3.98182065883541520e-18 -1.29754144442673142e-21 -2.14571622297639837e-24
  4.26771341194108728e-26  5.86268989967772695e-29 -4.17391530093736929e-31
B0531+21   17-Oct-15   83000.00   57312.35416666660             0.000059 -0.851 -7.946
      6042260.349669   29.660772797300   mc  300   12  1650.000                
 -9.23912139446640311e-09  1.46921590824651976e-01 -1.82984796758950981e-06
  5.75398402898465315e-09  1.01930000286964697e-12 -5.52868007027263479e-15
 -6.96098769808258938e-19  3.91061802234388228e-21  2.11652573861952205e-24
 -5.08978384869251158e-26 -2.70449571038600533e-29  6.93572629640507276e-31
B0531+21   17-Oct-15  133000.00   57312.56249999990             0.000059 -0.855 -8.207
      6576198.322019   29.660772797300   mc  300   12  1650.000                
 -7.56805161438008024e-09  1.47267406281882091e-01  2.45931244691161788e-06
  2.36682761704503326e-09 -5.82812467315135380e-12 -2.23996624766804579e-15
  3.62357657247390132e-18 -1.17073378860517809e-21  3.06003866610943797e-24
  7.69748777585290400e-26 -6.77047186706144576e-29 -1.03205985512216291e-30
B0531+21   17-Oct-15  173000.00   57312.72916666660             0.000059 -0.864 -7.948
      7003348.948539   29.660772797300   mc  300   12  1650.000                
 -1.15470386469370534e-08  1.48515599353835320e-01  2.03064228225597161e-06
 -3.44700468002992155e-09 -5.14898827095200716e-12  3.30064572977234034e-15
  3.23878317524838008e-18 -2.25032337575935606e-21  4.82552802061583325e-25
  4.15122531350110926e-26 -1.77766880533029914e-29 -7.35079388732859616e-31
B0531+21   17-Oct-15  223000.00   57312.93749999990             0.000059 -0.866 -8.237
      7537287.471473   29.660772797300   mc  300   12  1650.000                
 -5.07425047846746138e-09  1.48419177680101849e-01 -2.65916055092965649e-06
