B0531+21   16-Oct-15  173000.00   57311.72916666660             0.000059 -0.871 -7.938
      4440443.544504   29.660772797300   o8  300   12  1650.000                
 -1.50981777427561248e-08  1.51663184751059332e-01  1.28290732127308428e-06
 -2.56339396415704211e-09 -3.93027360406807186e-12  2.42910003399967582e-15
  2.56028415521646573e-18  6.72833958660383594e-22 -4.11076324676603140e-24
 -6.64294306366140588e-26  6.45591242801919096e-29  9.22151165880094674e-31
B0531+21   16-Oct-15  223000.00   57311.93749999990             0.000059 -0.872 -8.210
      4974382.975627   29.660772797300   o8  300   12  1650.000                
 -7.73923508880893570e-09  1.51445141109759041e-01 -2.25194225137719864e-06
 -4.13141867026262804e-09  1.70428427620802431e-12  3.96810122654484416e-15
 -1.17954922503946971e-18 -3.23530090559548324e-21  3.91313202146904362e-24
  5.46887971859365398e-26 -4.60076530703870809e-29 -7.71078347558157583e-31
B0531+21   17-Oct-15   33000.00   57312.14583333320             0.000059 -0.862 -8.236
      5508322.027459   29.660772797300   o8  300   12  1650.000                
  7.73669739485157945e-09  1.49298355557226398e-01 -4.19658024688286107e-06
  4.47674543044369201e-10  4.79919470645806012e-12 -4.23443458803894831e-16
 -2.98056169888582962e-18  3.96799187359788506e-23 -2.49349768886812686e-24
 -1.23557245266444847e-26  5.34285205256907573e-29  3.78140546737121782e-31
B0531+21   17-Oct-15   83000.00   57312.35416666660             0.000059 -0.853 -7.946
      6042260.397591   29.660772797300   o8  300   12  1650.000                
 -1.46094188203089548e-08  1.47360294521358320e-01 -1.66010514811092451e-06
  4.35429597123028081e-09  7.48221107701320443e-13 -4.18933721129656001e-15
 -4.99363950402730780e-19  3.39400377613791272e-21  1.23054820577990776e-24
 -5.40539705463479011e-26 -1.69616829335615701e-29  7.07381769107741339e-31
B0531+21   17-Oct-15  133000.00   57312.56249999990             0.000059 -0.856 -8.222
      6576198.480091   29.660772797300   o8  300   12  1650.000                
 -4.47629159802833245e-09  1.47454450761104555e-01  1.57475446625440607e-06
  1.77010305069777406e-09 -4.41750261219029841e-12 -1.67819779083042021e-15
  2.75502013014451284e-18 -5.28645014469309505e-22  2.38156274168018897e-24
  3.87166955110634595e-26 -5.62367010558900923e-29 -4.37124001692610719e-31
B0531+21   17-Oct-15  173000.00   57312.72916666660             0.000059 -0.862 -7.937
      7003349.097257   29.660772797300   o8  300   12  1650.000                
 -1.50182207107202393e-08  1.48257904879389391e-01  1.23561385113906823e-06
 -2.62471187348203621e-09 -3.88183249885327166e-12  2.48676860468512088e-15
  2.55920478639292210e-18  6.40393209979944659e-22 -5.38108856855183854e-24
 -6.46916685418281011e-26  8.38064374127401577e-29  8.94495390207131188e-31
B0531+21   17-Oct-15  223000.00   57312.93749999990             0.000059 -0.863 -8.196
      7537287.501394   29.660772797300   o8  300   12  1650.000                
 -6.94895802906744244e-09  1.48002001607476064e-01 -2.31712575712434397e-06
 -4.10402050283960249e-09  1.78202181797356089e-12  3.95449906458435001e-15
 -1.28233000307399440e-18 -4.00619269393723066e-21  6.94226515626635790e-24
  7.60354525519598639e-26 -1.02453730653150019e-28 -9.81531482156031331e-31
B0531+21   18-Oct-15   33000.00   57313.14583333320             0.000059 -0.853 -8.236
      8071225.515691   29.660772797300   o8  300   12  1650.000                
  3.75099766816318065e-09  1.45830191329401254e-01 -4.20739601748361431e-06
  5.23080057840756862e-10  4.78993109287112584e-12 -4.77171789301788181e-16
 -2.96978137902658124e-18 -1.54741708645996827e-21 -2.54126389036034404e-24
  5.14665744020125857e-26  5.05183661834484692e-29 -5.57715969472969308e-31
