    -24711051.387593   29.669488747730   wb  300   12  1650.000                
 -3.31802238747774038e-09 -4.45997030593851679e-02  1.37944196858830913e-06
  2.09904252222011417e-09 -4.88731780273107307e-12 -2.01768008987910476e-15
  3.12021022937754291e-18  2.06069180360921212e-21 -1.51404769219213741e-24
 -5.28557267758070057e-26  1.15579010835627006e-29  8.50516997136372578e-31
B0531+21    5-Jan-15  123000.00   57027.52083333330             0.000050  0.348 -8.343
    -24283821.362184   29.669488747730   wb  300   12  1650.000                
  6.78468379526240509e-09 -4.38627056143487681e-02  1.08861572109956958e-06
 -2.83109978437119182e-09 -4.42185333216440645e-12  2.74102284048872773e-15
  2.82084211941179610e-18 -3.95313769415213865e-21 -6.56118816174404816e-25
  1.08229410026898482e-25 -8.76247132738066518e-30 -1.56530734097478528e-30
B0531+21    5-Jan-15  173000.00   57027.72916666660             0.000050  0.349 -8.432
    -23749783.729581   29.669488747730   wb  300   12  1650.000                
  1.55221890387331448e-09 -4.43082801009536467e-02 -2.85185435886308929e-06
 -4.63036147033939537e-09  1.86667159106666615e-12  4.43371082659073078e-15
 -1.23281700702693132e-18 -1.89243930380753179e-21  2.49276549603086617e-24
 -9.75302884597838510e-27 -3.73200166501804912e-29  2.15445675317740370e-31
B0531+21    5-Jan-15  223000.00   57027.93749999990             0.000050  0.361 -8.531
    -23215746.581761   29.669488747730   wb  300   12  1650.000                
 -3.55299898577548633e-09 -4.69151429739663173e-02 -5.04998256369805117e-06
  4.68428168421170209e-10  5.37567213152878498e-12 -4.56623701287647240e-16
 -3.48635666922761528e-18  9.27221476132517165e-22  3.08649653099415568e-24
 -2.58844539797719550e-26 -2.39989070446993208e-29  3.59833136087667469e-31
B0531+21    6-Jan-15   33000.00   57028.14583333330             0.000050  0.372 -8.350
    -22681710.260456   29.669488747730   wb  300   12  1650.000                
  1.09560473487352111e-09 -4.93032696488635153e-02 -2.23016323063061441e-06
  4.87178623778954550e-09  8.79580514399552793e-13 -4.67279734033939578e-15
 -6.49410739626476533e-19  3.17280447464889942e-21  4.19936432386806630e-24
 -4.71838327599295019e-26 -6.38619775641680939e-29  7.72326077112264582e-31
B0531+21    6-Jan-15   83000.00   57028.35416666660             0.000050  0.371 -8.427
    -22147674.327393   29.669488747730   wb  300   12  1650.000                
 -4.92828314680430644e-09 -4.94172198895374004e-02  1.41004612004602572e-06
  2.02190459662537900e-09 -4.92614680366540586e-12 -1.94559634481909030e-15
